         12276741 function calls (11869163 primitive calls) in 10.052 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
19500/18893    0.027    0.000    0.388    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:909(__new__)
      724    0.006    0.000    0.387    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/polygon.py:208(_isright)
     3086    0.004    0.000    0.378    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/matrices.py:123(det)
    83953    0.068    0.000    0.377    0.000 {built-in method builtins.all}
     3086    0.035    0.000    0.374    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/determinant.py:484(_det)
    43265    0.141    0.000    0.358    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/evalf.py:1321(evalf)
    18811    0.055    0.000    0.352    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:293(_normalize_dimension)
     6022    0.031    0.000    0.343    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/matrices.py:1068(<listcomp>)
671242/671218    0.295    0.000    0.336    0.000 {built-in method builtins.getattr}
    85610    0.218    0.000    0.325    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/compatibility.py:221(iterable)
      2/1    0.000    0.000    0.319    0.319 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/cbook/deprecation.py:439(wrapper)
        1    0.000    0.000    0.319    0.319 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/pyplot.py:1156(subplots)
    44544    0.039    0.000    0.300    0.000 {built-in method builtins.abs}
     9143    0.043    0.000    0.279    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:219(<listcomp>)
        1    0.000    0.000    0.275    0.275 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/pyplot.py:555(figure)
        1    0.000    0.000    0.275    0.275 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/pyplot.py:312(new_figure_manager)
        1    0.000    0.000    0.275    0.275 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/backend_bases.py:3487(new_figure_manager)
        1    0.000    0.000    0.274    0.274 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/backends/_backend_tk.py:879(new_figure_manager_given_figure)
    21611    0.042    0.000    0.266    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/entity.py:113(__new__)
    33924    0.048    0.000    0.257    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/numbers.py:1386(__abs__)
     9331    0.012    0.000    0.248    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/numbers.py:1959(__lt__)
   212802    0.173    0.000    0.237    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/basic.py:109(__new__)
     9331    0.017    0.000    0.235    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/numbers.py:1922(_Rrel)
        1    0.000    0.000    0.223    0.223 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/tkinter/__init__.py:2003(__init__)
   189426    0.081    0.000    0.223    0.000 {built-in method builtins.max}
        1    0.223    0.223    0.223    0.223 {built-in method _tkinter.create}
189825/189595    0.095    0.000    0.210    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/containers.py:50(<genexpr>)
    12044    0.019    0.000    0.206    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/common.py:1924(entry)
    86534    0.117    0.000    0.202    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/mpmath/libmp/libmpf.py:64(dps_to_prec)
    21611    0.042    0.000    0.197    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/entity.py:122(<listcomp>)
     9333    0.018    0.000    0.196    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/numbers.py:1457(__gt__)
     6022    0.040    0.000    0.187    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/common.py:316(extract)
